r	x	y	id
188.1495783	188.1495783	-5.53227E-13	b
203.5226075	143.9122159	143.9122159	b
220.1517119	1.83401E-12	220.1517119	b
238.139521	-168.3900702	168.3900702	b
257.5970497	-257.5970497	-1.26182E-13	b
278.6443834	-197.031333	-197.031333	b
301.4114195	-1.47706E-12	-301.4114195	b
326.0386687	230.5441536	-230.5441536	b
352.6781224	352.6781224	1.38251E-12	b
381.4941905	269.7571291	269.7571291	b
412.6647166	6.06735E-13	412.6647166	b
446.3820749	-315.6397921	315.6397921	b
482.8543579	-482.8543579	3.31268E-12	b
522.3066607	-369.3265817	-369.3265817	b
564.9824701	1.10732E-12	-564.9824701	b
611.1451673	432.1448921	-432.1448921	b
661.0796535	661.0796535	-2.26778E-12	b
715.0941078	505.6478928	505.6478928	b
773.5218901	-4.16937E-12	773.5218901	b
836.7235976	-591.6529298	591.6529298	b
905.0892905	-905.0892905	1.9626E-16	b
979.0408998	-692.2864593	-692.2864593	b
1059.034831	-5.70877E-12	-1059.034831	b
1145.564779	810.0366238	-810.0366238	b
1239.164781	1239.164781	4.25031E-12	b
1340.412504	947.8147709	947.8147709	b
1449.932816	2.84237E-12	1449.932816	b
1568.401641	-1109.027436	1109.027436	b
1696.55013	-1696.55013	1.24708E-11	b
1835.169175	-1297.660568	-1297.660568	b
1985.114285	2.91783E-12	-1985.114285	b
2147.310874	1518.378081	-1518.378081	b
2322.759967	2322.759967	-9.10632E-12	b
2512.544377	1776.637167	1776.637167	b
2717.835393	-1.33175E-11	2717.835393	b
2939.900004	-2078.823229	2078.823229	b
3180.10872	-3180.10872	1.55913E-12	b
3439.944031	-2432.407751	-2432.407751	b
3721.009556	-2.18818E-11	-3721.009556	b
4025.03994	2846.133036	-2846.133036	b
4353.91156	4353.91156	1.28002E-11	b
4709.654103	3330.228354	3330.228354	b
5094.463098	1.24835E-11	5094.463098	b
5510.713459	-3896.662856	3896.662856	b
5960.974149	-5960.974149	4.67384E-11	b
6448.02403	-4559.441517	-4559.441517	b
6974.869015	6.83393E-12	-6974.869015	b
7544.760619	5334.951396	-5334.951396	b
8161.216028	8161.216028	-3.59953E-11	b
8828.039805	6242.36681	6242.36681	b
9549.347367	-4.21125E-11	9549.347367	b
10329.59039	-7304.123412	7304.123412	b
11173.58428	-11173.58428	1.09539E-11	b
12086.5379	-8546.472907	-8546.472907	b
13074.08568	-8.32906E-11	-13074.08568	b
14142.32247	10000.13212	-10000.13212	b
15297.84107	15297.84107	3.74776E-11	b
16547.77295	11701.04247	11701.04247	b
17899.8323	5.26338E-11	17899.8323	b
19362.36359	-13691.25859	13691.25859	b
20944.39308	-20944.39308	1.74483E-10	b
22655.68454	-16019.98817	-16019.98817	b
24506.7995	1.20018E-11	-24506.7995	b
26509.16245	18744.80853	-18744.80853	b
28675.13131	28675.13131	-1.40525E-10	b
31018.07375	21933.09029	21933.09029	b
33552.44963	-1.31523E-10	33552.44963	b
36293.9003	-25663.66302	25663.66302	b
39259.34511	-39259.34511	6.15636E-10	b
42467.0858	-30028.76435	-30028.76435	b
45936.91951	3.37642E-10	-45936.91951	b
49690.26093	35136.32046	-35136.32046	b
53750.27445	53750.27445	1.0534E-10	b
58142.01716	41112.61461	41112.61461	b
62892.59346	2.15755E-10	62892.59346	b
68031.32236	-48105.40938	48105.40938	b
73589.91843	-73589.91843	6.49126E-10	b
79602.6875	-56287.60013	-56287.60013	b
86106.73842	-1.22368E-09	-86106.73842	b
93142.21209	65861.48979	-65861.48979	b
100752.5292	100752.5292	8.88658E-10	b
108984.658	77063.79073	77063.79073	b
117889.4047	-4.04346E-10	117889.4047	b
127521.7264	-90171.47745	90171.47745	b
137941.0706	-137941.0706	2.70427E-10	b
149211.7422	-105508.6347	-105508.6347	b
161403.3	-1.18644E-09	-161403.3	b
174590.9865	123454.4705	-123454.4705	b
188856.1916	188856.1916	-2.40624E-09	b
204286.9557	144452.6917	144452.6917	b
220978.5123	-2.27393E-09	220978.5123	b
239033.8763	-169022.4748	169022.4748	b
258564.4795	-258564.4795	-1.26695E-09	b
279690.8584	-197771.3026	-197771.3026	b
302543.3983	-1.48363E-10	-302543.3983	b
327263.1374	231409.9837	-231409.9837	b
354002.6381	354002.6381	-2.08179E-09	b
382926.9277	270770.2273	270770.2273	b
414214.5175	4.66863E-09	414214.5175	b
448058.5045	-316825.2069	316825.2069	b
484667.7626	-484667.7626	8.07523E-09	b
524268.2322	-370713.6222	-370713.6222	b
567104.3147	3.61246E-09	-567104.3147	b
613440.3802	433767.8527	-433767.8527	b
663562.3999	663562.3999	6.50082E-10	b
717779.7107	507546.9008	507546.9008	b
776426.924	3.42454E-09	776426.924	b
839865.9913	-593874.9378	593874.9378	b
908488.438	-908488.438	8.90407E-09	b
982717.7795	-694886.4059	-694886.4059	b
1063012.135	-1.61485E-08	-1063012.135	b
1149867.055	813078.7921	-813078.7921	b
1243818.58	1243818.58	9.75164E-09	b
1345446.548	951374.378	951374.378	b
1455378.174	-3.56532E-09	1455378.174	b
1574291.92	-1113192.492	1113192.492	b
1702921.683	-1702921.683	5.00757E-09	b
1842061.324	-1302534.054	-1302534.054	b
1992569.567	-1.65999E-08	-1992569.567	b
2155375.301	1524080.491	-1524080.491	b
2331483.309	2331483.309	-3.19908E-08	b
2521980.473	1783309.494	1783309.494	b
2728042.478	-2.53985E-08	2728042.478	b
2950941.074	-2086630.444	2086630.444	b
3192051.916	-3192051.916	-1.25123E-08	b
3452863.063	-2441542.886	-2441542.886	b
3734984.156	-5.49231E-09	-3734984.156	b
4040156.354	2856821.955	-2856821.955	b
4370263.082	4370263.082	-2.99836E-08	b
4727341.65	3342735.338	3342735.338	b
5113595.831	6.26475E-08	5113595.831	b
5531409.459	-3911297.138	3911297.138	b
5983361.145	-5983361.145	-6.4502E-08	b
6472240.187	-4576564.926	-4576564.926	b
7001063.788	3.7735E-08	-7001063.788	b
7573095.673	5354987.305	-5354987.305	b
8191866.239	8191866.239	-3.55266E-12	b
8861194.334	6265810.603	6265810.603	b
9585210.834	5.16716E-08	9585210.834	b
10368384.13	-7331554.731	7331554.731	b
11215547.72	-11215547.72	1.20916E-07	b
12131930.02	-8578569.986	-8578569.986	b
13123186.64	-2.12221E-07	-13123186.64	b
14195435.29	10037688.55	-10037688.55	b
15355293.54	15355293.54	1.05337E-07	b
16609919.66	11744986.83	11744986.83	b
17967056.8	-2.6405E-08	17967056.8	b
19435080.76	-13742677.4	13742677.4	b
21023051.71	-21023051.71	8.24249E-08	b
22740770.08	-16080152.73	-16080152.73	b
24598837.08	-2.2904E-07	-24598837.08	b
26608720.09	18815206.41	-18815206.41	b
28782823.45	28782823.45	-4.23146E-07	b
31134565.03	22015462.06	22015462.06	b
33678458.99	-2.80543E-07	33678458.99	b
36430205.44	-25760045.31	25760045.31	b
39406787.25	-39406787.25	-1.15844E-07	b
0.01	0.01	0	c
0.010078849	0.007126823	0.007126823	c
0.01015832	6.22272E-19	0.01015832	c
0.010238417	-0.007239654	0.007239654	c
0.010319146	-0.010319146	1.26425E-18	c
0.010400512	-0.007354272	-0.007354272	c
0.010482519	-1.9264E-18	-0.010482519	c
0.010565172	0.007470705	-0.007470705	c
0.010648478	0.010648478	-2.60919E-18	c
0.01073244	0.007588981	0.007588981	c
0.010817064	3.31313E-18	0.010817064	c
0.010902356	-0.00770913	0.00770913	c
0.01098832	-0.01098832	4.0387E-18	c
0.011074962	-0.00783118	-0.00783118	c
0.011162287	-4.78641E-18	-0.011162287	c
0.0112503	0.007955164	-0.007955164	c
0.011339008	0.011339008	-5.55679E-18	c
0.011428415	0.00808111	0.00808111	c
0.011518527	6.35036E-18	0.011518527	c
0.011609349	-0.00820905	0.00820905	c
0.011700888	-0.011700888	7.16766E-18	c
0.011793148	-0.008339015	-0.008339015	c
0.011886136	1.31048E-17	-0.011886136	c
0.011979857	0.008471038	-0.008471038	c
0.012074317	0.012074317	-8.8757E-18	c
0.012169522	0.008605152	0.008605152	c
0.012265478	-1.20203E-17	0.012265478	c
0.01236219	-0.008741388	0.008741388	c
0.012459664	-0.012459664	1.06855E-17	c
0.012557908	-0.008879782	-0.008879782	c
0.012656926	1.08533E-17	-0.012656926	c
0.012756724	0.009020366	-0.009020366	c
0.01285731	0.01285731	-1.26017E-17	c
0.012958688	0.009163176	0.009163176	c
0.013060866	-9.59948E-18	0.013060866	c
0.01316385	-0.009308248	0.009308248	c
0.013267646	-0.013267646	1.46294E-17	c
0.01337226	-0.009455616	-0.009455616	c
0.013477699	8.25463E-18	-0.013477699	c
0.013583969	0.009605317	-0.009605317	c
0.013691078	0.013691078	-1.67736E-17	c
0.013799031	0.009757388	0.009757388	c
0.013907835	-6.81416E-18	0.013907835	c
0.014017497	-0.009911867	0.009911867	c
0.014128023	-0.014128023	-3.1153E-17	c
0.014239421	-0.010068791	-0.010068791	c
0.014351698	-4.57141E-17	-0.014351698	c
0.01446486	0.0102282	-0.0102282	c
0.014578914	0.014578914	-2.14336E-17	c
0.014693867	0.010390133	0.010390133	c
0.014809727	-3.62722E-18	0.014809727	c
0.0149265	-0.010554629	0.010554629	c
0.015044194	-0.015044194	-2.94869E-17	c
0.015162816	-0.01072173	-0.01072173	c
0.015282373	-5.24232E-17	-0.015282373	c
0.015402873	0.010891476	-0.010891476	c
0.015524324	0.015524324	-2.66274E-17	c
0.015646732	0.01106391	0.01106391	c
0.015770105	1.7098E-21	0.015770105	c
0.01589445	-0.011239074	0.011239074	c
0.016019777	-0.016019777	-2.74738E-17	c
0.016146091	-0.01141701	-0.01141701	c
0.016273401	-5.98102E-17	-0.016273401	c
0.016401716	0.011597764	-0.011597764	c
0.016531042	0.016531042	-3.24048E-17	c
0.016661387	0.01178138	0.01178138	c
0.016792761	4.11655E-18	0.016792761	c
0.01692517	-0.011967902	0.011967902	c
0.017058623	-0.017058623	-2.50755E-17	c
0.017193129	-0.012157378	-0.012157378	c
0.017328695	-6.79348E-17	-0.017328695	c
0.01746533	0.012349853	-0.012349853	c
0.017603043	0.017603043	-3.88194E-17	c
0.017741841	0.012545376	0.012545376	c
0.017881734	8.76505E-18	0.017881734	c
0.01802273	-0.012743994	0.012743994	c
0.018164837	-0.018164837	-2.22507E-17	c
0.018308065	-0.012945757	-0.012945757	c
0.018452422	-7.68617E-17	-0.018452422	c
0.018597918	0.013150714	-0.013150714	c
0.018744561	0.018744561	-4.59297E-17	c
0.01889236	0.013358916	0.013358916	c
0.019041324	1.49296E-16	0.019041324	c
0.019191463	-0.013570414	0.013570414	c
0.019342786	-0.019342786	-1.8954E-17	c
0.019495302	-0.01378526	-0.01378526	c
0.019649021	-8.66606E-17	-0.019649021	c
0.019803952	0.014003508	-0.014003508	c
0.019960104	0.019960104	8.80261E-17	c
0.020117487	0.014225212	0.014225212	c
0.020276112	1.98752E-17	0.020276112	c
0.020435987	-0.014450425	0.014450425	c
